word,rarity,reason
dette,4,obsolete-or-invalid-form
Devon,4,duplicate-after-lowercasing
Dewar,4,capitalized-only-without-lowercase-source
Diana,4,capitalized-only-without-lowercase-source
Dobro,4,capitalized-only-without-lowercase-source
dogge,4,obsolete-or-invalid-form
Dolly,4,duplicate-after-lowercasing
Durex,4,capitalized-only-without-lowercase-source
Dutch,4,duplicate-after-lowercasing
Eagle,4,duplicate-after-lowercasing
EBITA,4,capitalized-only-without-lowercase-source
Ebola,4,capitalized-only-without-lowercase-source
ECLSS,4,capitalized-only-without-lowercase-source
Eddie,4,capitalized-only-without-lowercase-source
Edgar,4,capitalized-only-without-lowercase-source
EDNOS,4,capitalized-only-without-lowercase-source
Effie,4,capitalized-only-without-lowercase-source
eller,4,obsolete-or-invalid-form
Enter,4,duplicate-after-lowercasing
entre,4,obsolete-or-invalid-form
EOLed,4,capitalized-only-without-lowercase-source
EPIRB,4,capitalized-only-without-lowercase-source
EPROM,4,capitalized-only-without-lowercase-source
Ether,4,duplicate-after-lowercasing
faire,4,obsolete-or-invalid-form
Fante,4,capitalized-only-without-lowercase-source
Farsi,4,capitalized-only-without-lowercase-source
FedEx,4,capitalized-only-without-lowercase-source
felch,4,excluded-usage:vulgar
Fifer,4,duplicate-after-lowercasing
finne,4,obsolete-or-invalid-form
fitte,4,obsolete-or-invalid-form
FLOPS,4,capitalized-only-without-lowercase-source
Frank,4,duplicate-after-lowercasing
Freon,4,duplicate-after-lowercasing
FUBAR,4,capitalized-root:FUBAR
fubar,4,capitalized-root:FUBAR
fugly,4,excluded-usage:vulgar
FURPS,4,capitalized-only-without-lowercase-source
fyrst,4,obsolete-or-invalid-form
Garda,4,duplicate-after-lowercasing
garde,4,obsolete-or-invalid-form
Genoa,4,duplicate-after-lowercasing
Giant,4,duplicate-after-lowercasing
Gmail,4,capitalized-only-without-lowercase-source
Grant,4,duplicate-after-lowercasing
Greek,4,duplicate-after-lowercasing
Green,4,duplicate-after-lowercasing
Guido,4,capitalized-only-without-lowercase-source
Gypsy,4,duplicate-after-lowercasing
hafta,4,excluded-usage:abbreviation
Hanif,4,duplicate-after-lowercasing
Hanzi,4,duplicate-after-lowercasing
Harry,4,duplicate-after-lowercasing
hasta,4,excluded-root:hafta
Hausa,4,capitalized-only-without-lowercase-source
Heinz,4,capitalized-only-without-lowercase-source
Helen,4,capitalized-only-without-lowercase-source
HELOC,4,capitalized-only-without-lowercase-source
Henry,4,duplicate-after-lowercasing
Hertz,4,duplicate-after-lowercasing
