word,lemma,esdb_pos
bolder,bold,aj1
boldest,bold,aj2
boleros,bolero,ns
boles,bole,ns
bolls,boll,ns
bolted,bolt,vd
bolting,bolt,vg
bolts,bolt,ms
boluses,bolus,ns
bombed,bomb,vd
bombers,bomber,ns
bombing,bomb,vg
bombs,bomb,ms
bonbons,bonbon,ns
bonces,bonce,ns
bonded,bond,vd
bonding,bond,vg
bondmen,bondman,ns
bonds,bond,ms
boned,bone,vd
boners,boner,ns
bones,bone,ms
bonged,bong,vd
bonging,bong,vg
bongos,bongo,ns
bongs,bong,ms
bonier,bony,aj1
boniest,bony,aj2
boning,bone,vg
bonitos,bonito,ns
bonked,bonk,vd
bonking,bonk,vg
bonks,bonk,vs
bonnets,bonnet,ns
bonnier,bonny,aj1
bonobos,bonobo,ns
bonuses,bonus,ns
boobed,boob,vd
boobies,booby,ns
boobing,boob,vg
boobs,boob,ms
boodles,boodle,ns
booed,boo,vd
boogers,booger,ns
boogied,boogie,vd
boogies,boogie,vs
boohoos,boohoo,ms
booing,boo,vg
booked,book,vd
bookies,bookie,ns
booking,book,vg
books,book,ms
boomed,boom,vd
boomers,boomer,ns
booming,boom,vg
booms,boom,ms
boons,boon,ns
boors,boor,ns
boos,boo,ms
boosted,boost,vd
boosts,boost,ms
booted,boot,vd
bootees,bootee,ns
booths,booth,ns
booties,booty,ns
booting,boot,vg
boots,boot,ms
boozed,booze,vd
boozers,boozer,ns
boozes,booze,ms
boozier,boozy,aj1
boozing,booze,vg
bopped,bop,vd
bopping,bop,vg
bops,bop,vs
borders,border,ms
bore,bear,vd
bored,bore,vd
borers,borer,ns
bores,bore,ms
boring,bore,vg
born,bear,vn
borne,bear,vn
borrows,borrow,vs
borzois,borzoi,ns
bosoms,bosom,ns
bossed,boss,vd
bosses,boss,ms
bossier,bossy,aj1
bossing,boss,vg
botched,botch,vd
botches,botch,ms
bothers,bother,ms
botnets,botnet,ns
bots,bot,ns
bottled,bottle,vd
bottles,bottle,ms
bottoms,bottom,ms
boughs,bough,ns
bought,buy,vd
bought,buy,vn
bounced,bounce,vd
bounces,bounce,ms
bound,bind,vd
bounded,bound,vd
bounds,bound,ms
bouts,bout,ns
bovines,bovine,ns
bowed,bow,vd
bowels,bowel,ns
bowers,bower,ns
bowing,bow,vg
bowled,bowl,vd
bowlegs,bowleg,ns
bowlers,bowler,ns
bowling,bowl,vg
bowls,bowl,ms
bowmen,bowman,ns
bows,bow,ms
bowwows,bowwow,ns
boxcars,boxcar,ns
boxed,box,vd
boxers,boxer,ns
boxes,box,ns
boxes,box,vs
boxier,boxy,aj1
boxiest,boxy,aj2
boxing,box,vg
boys,boy,ns
bozos,bozo,ns
braced,brace,vd
bracers,bracer,ns
braces,brace,ms
bracing,brace,vg
bracts,bract,ns
brads,brad,ns
braes,brae,ns
bragged,brag,vd
brags,brag,ms
braided,braid,vd
braids,braid,ms
brained,brain,vd
brains,brain,ms
braised,braise,vd
braises,braise,vs
braked,brake,vd
brakes,brake,ms
braking,brake,vg
branded,brand,vd
brands,brand,ms
bras,bra,ns
brasher,brash,aj1
brasses,brass,ns
brats,brat,ns
braved,brave,vd
braver,brave,aj1
braves,brave,ms
bravest,brave,aj2
braving,brave,vg
bravos,bravo,ns
brawled,brawl,vd
brawls,brawl,ms
brayed,bray,vd
braying,bray,vg
brays,bray,ms
brazed,braze,vd
brazens,brazen,vs
brazers,brazer,ns
brazes,braze,vs
brazing,braze,vg
breaded,bread,vd
breads,bread,vs
breaks,break,ms
breams,bream,ns
breasts,breast,ms
breaths,breath,ns
bred,breed,vd
breeds,breed,ms
breezed,breeze,vd
breezes,breeze,ms
breves,breve,ns
brevets,brevet,ms
brewed,brew,vd
brewers,brewer,ns
brewing,brew,vg
brews,brew,ms
briars,briar,ns
bribed,bribe,vd
bribers,briber,ns
bribes,bribe,ms
bribing,bribe,vg
bricked,brick,vd
bricks,brick,ms
bridals,bridal,ns
brides,bride,ns
bridged,bridge,vd
bridges,bridge,ms
bridled,bridle,vd
bridles,bridle,ms
briefed,brief,vd
briefer,brief,aj1
briefs,brief,ms
brigs,brig,ns
brimmed,brim,vd
brims,brim,ms
brined,brine,vd
brines,brine,vs
brings,bring,vs
brinier,briny,aj1
brining,brine,vg
brinks,brink,ns
brisked,brisk,vd
brisker,brisk,aj1
brisks,brisk,vs
broader,broad,aj1
broads,broad,ns
brogans,brogan,ns
brogues,brogue,ns
broiled,broil,vd
broils,broil,ms
broke,break,vd
broken,break,vn
brokers,broker,ms
bronchi,bronchus,ns
broncos,bronco,ns
broncs,bronc,ns
bronzed,bronze,vd
bronzes,bronze,ms
brooded,brood,vd
broods,brood,ms
brooked,brook,vd
brooks,brook,ms
brooms,broom,ns
bros,bro,ns
broths,broth,ns
brought,bring,vd
browned,brown,vd
browner,brown,aj1
browns,brown,ms
brows,brow,ns
browsed,browse,vd
browses,browse,ms
bruins,bruin,ns
bruised,bruise,vd
bruises,bruise,ms
bruited,bruit,vd
bruits,bruit,vs
brunets,brunet,ns
brushed,brush,vd
brushes,brush,ms
brutes,brute,ns
bubbled,bubble,vd
bubbles,bubble,ms
buboes,bubo,ns
bubs,bub,ns
bucked,buck,vd
buckets,bucket,ms
bucking,buck,vg
buckled,buckle,vd
buckles,buckle,ms
bucks,buck,ns
bucks,buck,vs
budded,bud,vd
buddies,buddy,ns
budding,bud,vg
budged,budge,vd
budges,budge,vs
budgets,budget,ms
budgies,budgie,ns
budging,budge,vg
buds,bud,ms
buffed,buff,vd
buffers,buffer,ms
buffets,buffet,ms
buffing,buff,vg
buffs,buff,ms
bugged,bug,vd
buggier,buggy,aj1
buggies,buggy,ns
bugging,bug,vg
bugled,bugle,vd
buglers,bugler,ns
bugles,bugle,ms
bugling,bugle,vg
