word,rarity,reason
aunty,3,outside-filtered-American-60-80
auric,4,larger-level-not-approved
aurum,4,larger-level-not-approved
autem,4,outside-filtered-American-60-80
auth,4,outside-filtered-American-60-80
autobus,4,larger-level-not-approved
aux,4,outside-filtered-American-60-80
avale,4,outside-filtered-American-60-80
avant,4,larger-level-not-approved
avarous,4,outside-filtered-American-60-80
avaunce,4,outside-filtered-American-60-80
ave,2,larger-level-not-approved
avel,4,outside-filtered-American-60-80
avenage,4,outside-filtered-American-60-80
avener,4,outside-filtered-American-60-80
avens,4,larger-level-not-approved
aventre,4,outside-filtered-American-60-80
averter,4,larger-level-not-approved
aves,4,larger-level-not-approved
aviate,4,larger-level-not-approved
avie,4,outside-filtered-American-60-80
avile,4,outside-filtered-American-60-80
avis,3,outside-filtered-American-60-80
avision,4,outside-filtered-American-60-80
aviso,4,outside-filtered-American-60-80
avo,4,larger-level-not-approved
avocat,4,outside-filtered-American-60-80
avocate,4,outside-filtered-American-60-80
avocet,4,larger-level-not-approved
avoider,4,larger-level-not-approved
avoset,4,outside-filtered-American-60-80
awarder,4,larger-level-not-approved
awarn,4,outside-filtered-American-60-80
aweary,4,larger-level-not-approved
aweless,4,larger-level-not-approved
awhape,4,outside-filtered-American-60-80
awk,4,outside-filtered-American-60-80
awkly,4,outside-filtered-American-60-80
awlwort,4,larger-level-not-approved
awned,4,larger-level-not-approved
awnless,4,larger-level-not-approved
awny,4,outside-filtered-American-60-80
awork,4,outside-filtered-American-60-80
awrong,4,outside-filtered-American-60-80
axel,4,larger-level-not-approved
axeman,4,larger-level-not-approved
axil,4,larger-level-not-approved
axile,4,larger-level-not-approved
axilla,4,larger-level-not-approved
axillar,4,larger-level-not-approved
axinite,4,larger-level-not-approved
axled,4,larger-level-not-approved
axman,4,larger-level-not-approved
axtree,4,outside-filtered-American-60-80
axunge,4,outside-filtered-American-60-80
ayein,4,outside-filtered-American-60-80
ayen,4,outside-filtered-American-60-80
ayin,4,larger-level-not-approved
ayle,4,outside-filtered-American-60-80
